"function_name","arguments","start_line","end_line","line_span","module_id","target_file","extraction_order"
"matches_any_pattern","text;patterns",2131,2140,10,"04_module_labeling","R/04_module_labeling.R",5
"count_matching_patterns","text;patterns",2142,2151,10,"04_module_labeling","R/04_module_labeling.R",5
"extract_marker_counts","marker_summary",2153,2168,16,"04_module_labeling","R/04_module_labeling.R",5
"marker_count_for_rule","marker_summary;marker_patterns",2170,2176,7,"04_module_labeling","R/04_module_labeling.R",5
"label_evidence_score","marker_count;term_hit_count;required_hit_count;best_fdr;module_size",2178,2193,16,"04_module_labeling","R/04_module_labeling.R",5
"assign_label_confidence","score;marker_count;term_hit_count;best_fdr;module_size;final_label_raw",2195,2212,18,"04_module_labeling","R/04_module_labeling.R",5
"label_source_from_counts","marker_count;term_hit_count;best_fdr",2214,2223,10,"04_module_labeling","R/04_module_labeling.R",5
"supporting_themes_from_evidence","term_text;marker_summary;selected_label_id;max_secondary_themes",2225,2268,44,"04_module_labeling","R/04_module_labeling.R",5
"assign_module_label_with_rules","marker_label;marker_summary;term_text;best_fdr;module_size",2270,2352,83,"04_module_labeling","R/04_module_labeling.R",5
"write_excel","path;sheets",786,798,13,"05_reporting","R/05_reporting.R",6
"sanitize_sheet_name","x",1608,1611,4,"05_reporting","R/05_reporting.R",6
"as_output_table","x",1613,1622,10,"05_reporting","R/05_reporting.R",6
"write_readable_xlsx","path;sheets",2358,2413,56,"05_reporting","R/05_reporting.R",6
